Stock Moves/Sale Line/Barcode,Design Code,Size,Quantity,Designs Artwork,Designs Mockups đã fix,Stock Moves/Barcode,,,,Link Designs,Link Mockup,Hình ảnh Mockup,Barcode,Hình ảnh QR code,154,168
pb101146712422_45021,SherpaBlanket-1530437,150*200cm,1,https://pb.btdmp.com/pbase/shop-id/10114671/artworks/8916ebc147b57885cd486590bfff5297.jpg,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602579162_5f856adaa6d70uCYih15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602579152_5f856ad02a4de1RepW15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101146712422_45021_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114671/artworks/8916ebc147b57885cd486590bfff5297.jpg,https://assets.boostflow.com/phub/phub-rendered/v21602579162_5f856adaa6d70uCYih15928110685ef05e3c9cd8c.png,#NAME?,,,1,
O11,SherpaBlanket-1533628,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10114671/artworks/f52142a9c893874fdd42cefa0a67e69d.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602674860_5f86e0ac40572aDPJa15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602674862_5f86e0ae3323cD1n0S15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101146711151_45014_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114671/artworks/f52142a9c893874fdd42cefa0a67e69d.png,https://assets.boostflow.com/phub/phub-rendered/v21602674860_5f86e0ac40572aDPJa15928110685ef05e3c9cd8c.png,#NAME?,O11,#NAME?,0,
pb101146712218_44927,SherpaBlanket-1533628,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10114671/artworks/f52142a9c893874fdd42cefa0a67e69d.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602674860_5f86e0ac40572aDPJa15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602674862_5f86e0ae3323cD1n0S15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101146712218_44927_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114671/artworks/f52142a9c893874fdd42cefa0a67e69d.png,https://assets.boostflow.com/phub/phub-rendered/v21602674860_5f86e0ac40572aDPJa15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101159291064_45015,SherpaBlanket-1533847,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10115929/artworks/thumbnail_1602684354FRvPaNFzUh.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602684455_5f8706274596cpaock15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602684456_5f8706283781bHMDEJ15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101159291064_45015_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10115929/artworks/thumbnail_1602684354FRvPaNFzUh.png,https://assets.boostflow.com/phub/phub-rendered/v21602684455_5f8706274596cpaock15928110685ef05e3c9cd8c.png,#NAME?,pb101159291064_45015,#NAME?,0,
pb101147272006_44922,SherpaBlanket-1534036,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272006_44922_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,pb101147272006_44922,#NAME?,0,
pb101147272025_44931,SherpaBlanket-1534036,150*200cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272025_44931_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272059_45009,SherpaBlanket-1534036,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272059_45009_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272020_45033,SherpaBlanket-1534036,150*200cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272020_45033_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272036_45029,SherpaBlanket-1534036,150*200cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272036_45029_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
pb101147272022_44983,SherpaBlanket-1534036,130́*150cm,1,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,"""[""https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png"",""https://assets.boostflow.com/phub/phub-rendered/v21602699281_5f8740110671fDjdDB15928106865ef05cbe88f30.png""]""",https://s3-prod.beeketing.com/crosspanda/barcode/2020_10_21/barcode_pb101147272022_44983_2020_10_21_12_10.png,,,,https://pb.btdmp.com/pbase/shop-id/10114727/artworks/b69b4f7d7df7e8f03cb93d6dd3b109a7.png,https://assets.boostflow.com/phub/phub-rendered/v21602699279_5f87400f0cb2302cpp15928110685ef05e3c9cd8c.png,#NAME?,,,1,
